name,target,version,median,min,max,accuracy
Swift,swift,6.2.4,260.73559,244.33226,278.42071,9.856455
Common Lisp (SBCL SIMD),sbcl-simd,2.5.11,472.37953,467.81171,479.8724,9.497312
Rust (nightly),rust-nightly,1.98.0,486.69533,468.04924,487.40512,9.495223
C# (SIMD),cs-simd,10.0.109,468.65998,468.46513,468.68611,9.494635
Nim,nim,2.2.0,471.33705,468.93729,495.60474,9.500023
C++ (avx2),cpp-avx2,15.2.0,471.4422,469.34783,472.37362,9.497312
C++ (g++),cpp,15.2.0,472.95113,469.96371,493.78278,9.494296
C++ (clang++),cpp-clang,21.1.2,472.04806,470.69806,484.58278,9.498499
C (clang),c-clang,21.1.2,472.21052,470.72877,472.60995,9.498499
D (GDC),d,15.2.0,471.83675,471.51112,471.86567,9.494296
Fortran 90,fortran,14.3.0,472.10349,471.90446,472.2939,9.389531
C (gcc),c,15.2.0,473.78329,472.32735,477.86971,9.494296
Swift (SIMD),swift-simd,6.2.4,658.24777,650.21805,666.98148,8.69276
Scala,scala,3.7.4,926.93974,925.73098,928.59204,9.497907
Rust,rust,1.92.0,937.95323,937.55126,957.28364,9.497907
Ada (gnat-gcc),ada,15.2.0,943.1824,941.43783,944.52538,9.496394
OCaml,ocaml,5.4.1,946.78133,943.56106,958.23624,9.497117
C#,cs,10.0.109,944.4499,943.61839,948.2454,9.497907
Common Lisp (SBCL),sbcl,2.5.11,945.80414,944.05072,973.58036,9.497907
Objective-C,objc,21.1.2,948.00667,946.31314,951.09294,9.496394
F#,fs,10.0.109,947.99912,946.827,955.33008,9.497907
Odin,odin,2025,969.24598,966.99284,978.66672,9.497907
WASM (C via Wasmtime),wasm,39.0.1,971.54245,967.99422,974.03775,9.497907
Swift (relaxed),swift-relaxed,6.2.4,1075.73811,1072.10306,1082.47128,9.497907
Dart (AOT),dart-aot,3.12.2,1076.60139,1076.43899,1109.32392,9.497907
LuaJIT,luajit,2.1.1723681758,1135.14996,1132.02748,1137.18814,9.496394
Pascal (FPC),pascal,3.2.2,1137.81503,1133.7306,1143.47956,9.497907
Pony,pony,0.58.0,1191.47484,1186.21299,1191.54644,9.497907
Pony(nightly),pony-nightly,20231205,1190.57147,1190.25966,1197.54896,9.497907
Crystal,crystal,1.18.2,1209.25598,1199.71779,1224.97859,9.496394
Go,go,1.25.11,1223.83481,1217.75637,1233.53105,9.496394
Deno (TypeScript),deno,2.8.3,1326.31434,1323.36178,1343.00921,9.497907
Javascript (nodejs),nodejs,25.9.0,1402.63336,1398.0325,1407.35592,9.497907
Java graalvm,java-graalvm,25.0.1,1423.48248,1415.50544,1424.63973,9.496394
Python (Numba),cpython-numba,3.13.14,1478.82107,1461.52195,1481.82998,9.496394
Chez Scheme,chez,10.3.0,1726.94296,1714.97297,1759.06211,9.496394
Racket,racket,9.2,1934.57672,1820.19431,1936.54558,9.496394
Java (Vec Ops),java-vecops,25.0.3,2008.52995,1975.96715,2020.87845,9.497867
Javascript (bun),bunjs,1.3.14,2317.81728,2096.29871,2334.51397,9.497907
Kotlin,kotlin,2.2.21,2158.54331,2157.73523,2196.72101,9.497907
Java,java,25.0.3,2306.2926,2293.52471,2318.26943,9.496394
Clojure,clj,1.12.5.1654,2720.36716,2704.20202,2739.33154,9.497907
Groovy,groovy,5.0.6,3129.73852,3087.08261,3172.97082,9.496394
Haskell (GHC),haskell,9.10.3,4066.01188,4057.46943,4138.83389,9.497907
Python (MyPyC),mypyc,2.1.0,4319.07811,4315.26531,4327.51491,9.497907
Python (PyPy),pypy,3.11.15,5458.82213,5457.10369,5459.59554,9.496394
Dart (JIT),dart,3.12.2,6043.53492,6018.99352,6116.87061,9.497907
R,r,4.5.2,6253.47585,6087.21786,6278.06738,9.49715
Erlang,erlang,28.5.0.2,12596.65225,12520.40632,12673.29156,9.496394
Elixir,elixir,15.2.7.8,15217.95888,15030.00216,15276.18602,9.496394
PHP,php,8.4.21,16335.49347,16036.44723,16441.1928,9.496394
Lua,lua,5.4.8,16629.06502,16224.77935,16876.31569,9.496394
Janet (compiled),janet-compiled,1.41.2,25369.45387,24865.09593,33606.37885,9.496394
Ruby,ruby,3.4.9,51560.28816,50955.71727,51746.32373,9.496394
Raku,raku,2026.03,105474.98761,103308.40801,107736.06829,9.496394
Perl,perl,5,109501.50764,108010.21472,110641.1682,9.496394
Python (CPython),cpython,3.14.6,135361.34536,129987.35057,146764.4466,9.496394
