name,target,version,median,min,max,accuracy
Pascal (FPC),pascal,3.2.2,0.36,0.36,0.47,3.4976
Objective-C,objc,21.1.2,0.47,0.44,0.7,3.498
Pony,pony,0.58.0,3.37,3.13,3.43,3.4976
Pony(nightly),pony-nightly,20231205,3.44,3.19,4.29,3.4976
Perl,perl,5,4.26,4.07,4.98,3.498
Janet (compiled),janet-compiled,1.41.2,8.18,7.92,8.44,3.498
Swift,swift,6.2.4,11.62,10.16,11.65,3.498
Swift (relaxed),swift-relaxed,6.2.4,10.45,10.26,11.06,3.4976
Swift (SIMD),swift-simd,6.2.4,11.45,11.34,11.58,3.4976
WASM (C via Wasmtime),wasm,39.0.1,14.25,13.44,15.32,3.4976
PHP,php,8.4.21,23.31,22.43,24.11,3.498
Deno (TypeScript),deno,2.8.3,66.44,57.09,92.21,3.4976
Javascript (bun),bunjs,1.3.14,72.53,58.23,105.13,3.4976
Python (PyPy),pypy,3.11.15,66.21,58.52,109.73,3.498
Javascript (nodejs),nodejs,25.9.0,96.8,74.7,132.34,3.4976
R,r,4.5.2,150.43,133.93,182.32,3.4971
Ruby,ruby,3.4.9,172.13,137.41,181.38,3.498
Octave (Vectorised),octave-vectorised,10.3.0,313.84,285.08,376.1,3.4971
Raku,raku,2026.03,334.61,330.04,337.15,3.498
Rust (nightly),rust-nightly,1.98.0,1405.99,1373.33,1417.54,9.4952
D (LDC),d-ldc,1.41.0,1783.72,1562.27,2239.91,9.4985
Nim,nim,2.2.0,1576.68,1563.95,1577.1,9.5
D (GDC),d,15.2.0,1592.25,1565.98,1644.41,9.4943
C++ (g++),cpp,15.2.0,1826.97,1691.54,1837.35,9.4943
C (gcc),c,15.2.0,1800.58,1699.28,1826.43,9.4943
C++ (avx2),cpp-avx2,15.2.0,2159.39,1701.15,2498.03,9.4973
C++ (clang++),cpp-clang,21.1.2,2369.15,1742.57,5472.94,9.4985
Odin,odin,2025,2012.14,2009.42,2351.2,9.4979
Rust,rust,1.92.0,2044.58,2028.85,2049.89,9.4979
C (clang),c-clang,21.1.2,2232.92,2080.33,2354.45,9.4985
Scala,scala,3.7.4,2084.62,2083.67,2508.74,9.4979
Go,go,1.25.11,3400.16,3306.99,4021.67,9.4964
Java graalvm,java-graalvm,25.0.1,4469.75,4347.24,4904.01,9.4964
Kotlin,kotlin,2.2.21,4995.66,4517.19,5522.62,9.4979
Java (Vec Ops),java-vecops,25.0.3,4898.05,4583.69,5127.85,9.4979
Java,java,25.0.3,7406.82,7201.25,9439.65,9.4964
Clojure,clj,1.12.5.1654,8287.07,7668.66,8634.4,9.4979
Groovy,groovy,5.0.6,7894.23,7835.23,9426.91,9.4964
