name,target,version,median,min,max,accuracy
Swift,swift,6.2.4,402.87399,378.65896,806.03686,9.856455
C (clang),c-clang,21.1.2,473.99006,470.59915,475.57913,9.498499
C++ (avx2),cpp-avx2,15.2.0,471.39008,470.83196,484.99866,9.497312
C++ (g++),cpp,15.2.0,475.79392,471.23652,476.88406,9.494296
C++ (clang++),cpp-clang,21.1.2,474.24879,471.58435,499.62875,9.498499
Nim,nim,2.2.0,474.38051,473.42862,497.28269,9.500023
Rust (nightly),rust-nightly,1.98.0,476.00847,473.63754,477.47473,9.495223
Common Lisp (SBCL SIMD),sbcl-simd,2.5.11,474.94917,474.75223,475.94143,9.497312
C# (SIMD),cs-simd,10.0.109,478.00713,476.2736,485.20558,9.494635
C (gcc),c,15.2.0,482.84492,478.77257,490.2633,9.494296
Fortran 90,fortran,14.3.0,483.85665,483.38997,498.12975,9.389531
Swift (SIMD),swift-simd,6.2.4,1131.45826,908.13802,1181.70163,8.69276
Scala,scala,3.7.4,922.50792,920.39161,924.71185,9.497907
F#,fs,10.0.109,936.23793,932.3654,936.63436,9.497907
Odin,odin,2025,963.54487,947.29572,1028.38366,9.497907
Common Lisp (SBCL),sbcl,2.5.11,959.08709,951.81062,964.08731,9.497907
OCaml,ocaml,5.4.1,965.63371,955.10103,966.79273,9.497117
Rust,rust,1.92.0,964.20076,962.40645,967.38008,9.497907
Ada (gnat-gcc),ada,15.2.0,1236.25704,1074.94845,1360.06377,9.496394
LuaJIT,luajit,2.1.1723681758,1169.27265,1138.45176,1171.43343,9.496394
Dart (AOT),dart-aot,3.12.2,2171.88839,1205.5109,2354.29217,9.497907
Go,go,1.25.11,1212.85993,1206.24878,1215.18412,9.496394
Crystal,crystal,1.18.2,1229.30557,1218.97878,1255.54685,9.496394
Pascal (FPC),pascal,3.2.2,1334.60556,1245.61324,1643.20875,9.497907
Swift (relaxed),swift-relaxed,6.2.4,2581.012,1260.37413,2590.32362,9.497907
Pony,pony,0.58.0,1575.87346,1261.24591,1593.43616,9.497907
Pony(nightly),pony-nightly,20231205,1506.83007,1378.49687,1545.96346,9.497907
Javascript (nodejs),nodejs,25.9.0,1471.14332,1452.12335,1511.97132,9.497907
Python (Numba),cpython-numba,3.13.14,1487.17892,1484.63501,1637.89748,9.496394
Chez Scheme,chez,10.3.0,1735.50415,1728.83619,1786.39289,9.496394
WASM (C via Wasmtime),wasm,39.0.1,2363.82002,1766.56421,2831.57412,9.497907
Racket,racket,9.2,1873.50671,1859.57217,2011.78117,9.496394
Java (Vec Ops),java-vecops,25.0.3,2060.52795,1992.4986,2066.3437,9.497867
Kotlin,kotlin,2.2.21,2222.36467,2179.95559,2277.63488,9.497907
Java,java,25.0.3,2343.01189,2293.18539,2394.21313,9.496394
Javascript (bun),bunjs,1.3.14,2409.81974,2382.41779,2485.59659,9.497907
Clojure,clj,1.12.5.1654,2746.30568,2697.05456,2769.6806,9.497907
Groovy,groovy,5.0.6,3092.73098,3086.50808,3135.67032,9.496394
Haskell (GHC),haskell,9.10.3,4143.33,4142.41532,4152.98834,9.497907
Python (MyPyC),mypyc,2.1.0,4324.274,4314.7689,6873.62869,9.497907
Python (PyPy),pypy,3.11.15,5585.95482,5562.03136,6010.9039,9.496394
R,r,4.5.2,8108.16119,7060.8637,8192.38053,9.49715
Dart (JIT),dart,3.12.2,8405.53146,7885.08025,11821.58308,9.497907
Erlang,erlang,28.5.0.2,12799.20368,12768.06964,13158.61185,9.496394
PHP,php,8.4.21,24412.15571,20440.82277,26741.99344,9.496394
Lua,lua,5.4.8,22103.49366,20467.95981,23510.76779,9.496394
Janet (compiled),janet-compiled,1.41.2,24197.933,23863.06564,24463.39561,9.496394
Ruby,ruby,3.4.9,52375.94602,52177.48947,52839.18754,9.496394
Raku,raku,2026.03,107057.80973,106828.20354,112151.7352,9.496394
Perl,perl,5,110067.65319,110027.52581,110537.93255,9.496394
Python (CPython),cpython,3.14.6,136875.00425,131485.18018,137569.69434,9.496394
