name,target,version,median,min,max,accuracy
Swift,swift,6.2.4,254.22157,246.08606,399.1472,9.856455
C (clang),c-clang,21.1.2,469.40796,468.79249,471.35622,9.498499
C (gcc),c,15.2.0,474.02567,470.69035,497.22354,9.494296
Rust (nightly),rust-nightly,1.98.0,472.23004,471.62348,473.77593,9.495223
Fortran 90,fortran,14.3.0,476.75682,471.78133,510.60849,9.389531
Nim,nim,2.2.0,473.35493,472.28869,478.60462,9.500023
C++ (clang++),cpp-clang,21.1.2,473.77305,473.00209,490.4787,9.498499
C++ (avx2),cpp-avx2,15.2.0,475.15829,473.40158,479.80925,9.497312
Common Lisp (SBCL SIMD),sbcl-simd,2.5.11,474.20283,473.90339,474.22849,9.497312
D (GDC),d,15.2.0,481.71408,474.35245,483.86271,9.494296
C# (SIMD),cs-simd,10.0.109,475.50843,474.90747,475.59511,9.494635
C++ (g++),cpp,15.2.0,509.1,479.8773,513.44908,9.494296
Swift (SIMD),swift-simd,6.2.4,711.89694,657.97638,758.03844,8.69276
Odin,odin,2025,921.46728,920.17106,921.94652,9.497907
Scala,scala,3.7.4,922.08445,921.60235,924.51739,9.497907
F#,fs,10.0.109,925.35257,923.82276,925.98032,9.497907
Ada (gnat-gcc),ada,15.2.0,946.51928,946.5182,955.04082,9.496394
OCaml,ocaml,5.4.1,957.39093,957.37309,965.62374,9.497117
WASM (C via Wasmtime),wasm,39.0.1,968.76389,962.96183,1001.06864,9.497907
Rust,rust,1.92.0,964.14227,963.70169,979.68238,9.497907
C#,cs,10.0.109,965.77392,965.75562,980.67332,9.497907
Common Lisp (SBCL),sbcl,2.5.11,977.10111,974.31474,1054.41056,9.497907
Objective-C,objc,21.1.2,1018.64373,978.00582,1254.57724,9.496394
Swift (relaxed),swift-relaxed,6.2.4,1118.73448,1098.97999,1362.77228,9.497907
Dart (AOT),dart-aot,3.12.2,1219.44124,1128.1624,1265.62388,9.497907
LuaJIT,luajit,2.1.1723681758,1161.14696,1145.48277,1180.65256,9.496394
Pascal (FPC),pascal,3.2.2,1160.77112,1151.17256,1173.31989,9.497907
Pony(nightly),pony-nightly,20231205,1196.42011,1190.60409,1221.23397,9.497907
Pony,pony,0.58.0,1204.5981,1191.81823,1217.93081,9.497907
Crystal,crystal,1.18.2,1207.16396,1199.7537,1223.65282,9.496394
Go,go,1.25.11,1209.7942,1205.72913,1215.61363,9.496394
Deno (TypeScript),deno,2.8.3,1337.90371,1333.39441,1357.52744,9.497907
Python (Numba),cpython-numba,3.13.14,1468.28342,1364.12053,1475.5141,9.496394
Java graalvm,java-graalvm,25.0.1,1396.60561,1394.5917,1423.30432,9.496394
Javascript (nodejs),nodejs,25.9.0,1437.55207,1431.94223,1454.71488,9.497907
Chez Scheme,chez,10.3.0,1759.76649,1757.68694,1778.93267,9.496394
Racket,racket,9.2,1979.95136,1976.06239,2005.20934,9.496394
Kotlin,kotlin,2.2.21,2157.38055,2156.16324,2159.60896,9.497907
Java (Vec Ops),java-vecops,25.0.3,2289.955,2262.47174,2360.06894,9.497867
Javascript (bun),bunjs,1.3.14,2296.81604,2273.81906,2354.52118,9.497907
Java,java,25.0.3,2344.7906,2335.06802,2346.1083,9.496394
Clojure,clj,1.12.5.1654,2761.8978,2751.95573,2874.84662,9.497907
Groovy,groovy,5.0.6,3340.0648,3253.32579,3487.09749,9.496394
Haskell (GHC),haskell,9.10.3,4025.87665,4020.34399,4036.10987,9.497907
Python (MyPyC),mypyc,2.1.0,4461.97364,4386.66867,4561.92529,9.497907
Python (PyPy),pypy,3.11.15,5445.23945,5436.82478,5448.61501,9.496394
Dart (JIT),dart,3.12.2,6108.7566,6017.73015,7094.23969,9.497907
R,r,4.5.2,6310.49674,6240.04207,6321.1088,9.49715
Erlang,erlang,28.5.0.2,12987.3408,12969.63415,13175.70048,9.496394
Elixir,elixir,15.2.7.8,15332.21217,15207.05855,15664.15333,9.496394
Lua,lua,5.4.8,16117.70904,15698.43809,16282.93177,9.496394
PHP,php,8.4.21,16330.129,16308.2226,16532.56282,9.496394
Janet (compiled),janet-compiled,1.41.2,23203.88781,23154.83062,23207.859,9.496394
Ruby,ruby,3.4.9,52006.45826,51351.80792,57711.3056,9.496394
Raku,raku,2026.03,105340.8823,101480.72191,112761.62051,9.496394
Perl,perl,5,110472.74977,109708.94687,113572.74471,9.496394
Python (CPython),cpython,3.14.6,132385.246,130812.0443,135158.71361,9.496394
